features,accuracy,f1_score,precision,recall
"('PhotoAmt', 'Age', 'Breed1', 'Breed2', 'Fee')",0.6052017339113037,0.6030225641716368,0.606171006508844,0.6052017339113037
"('Age', 'Breed1', 'Color1', 'Breed2')",0.6052017339113037,0.6021541972647805,0.6068368441229995,0.6052017339113037
"('Age', 'Breed1', 'Color1', 'Breed2', 'Fee')",0.6038679559853285,0.6014773861723182,0.6049585133593293,0.6038679559853285
"('Age', 'Breed1', 'Color2', 'Quantity', 'Fee')",0.6035345115038346,0.6022150263309844,0.6038916716518725,0.6035345115038346
"('PhotoAmt', 'Age', 'Breed1', 'Color1', 'Fee')",0.6032010670223408,0.6010108541927769,0.6041300696272144,0.6032010670223408
"('Age', 'State', 'Quantity', 'MaturitySize', 'Fee')",0.6028676225408469,0.6021423972015749,0.6028993476359035,0.6028676225408469
"('Age', 'Breed1', 'Color1', 'State', 'Fee')",0.6022007335778593,0.5996942024418829,0.603330537387703,0.6022007335778593
"('Age', 'Breed1', 'Color2', 'Color1')",0.6022007335778593,0.6003690356920397,0.602861843912382,0.6022007335778593
"('Age', 'Breed1', 'Color2', 'State', 'Breed2')",0.6022007335778593,0.6001815566491485,0.6029878058640504,0.6022007335778593
"('Age', 'Breed1', 'Color2', 'State', 'Quantity')",0.6015338446148716,0.6011321221196626,0.6014442112981111,0.6015338446148716
"('PhotoAmt', 'Age', 'Breed1', 'Color1')",0.6015338446148716,0.6001125261815645,0.6019239368283598,0.6015338446148716
"('Age', 'Color1', 'Quantity', 'MaturitySize')",0.600866955651884,0.5993778830519989,0.6012877049892058,0.600866955651884
"('PhotoAmt', 'Age', 'Breed2', 'Quantity', 'MaturitySize')",0.6002000666888962,0.5996652454079326,0.6001425752685278,0.6002000666888962
"('Age', 'State', 'Quantity', 'MaturitySize')",0.6002000666888962,0.598013374038247,0.6010551256036278,0.6002000666888962
"('Age', 'Color1', 'Quantity', 'MaturitySize', 'Fee')",0.5998666222074025,0.5987307637726942,0.600073365713873,0.5998666222074025
"('Age', 'Breed1', 'Color2', 'Color1', 'Breed2')",0.5995331777259086,0.5983818418198134,0.5997442882230898,0.5995331777259086
"('Age', 'Breed1', 'Color1', 'State', 'Breed2')",0.5995331777259086,0.5981688562424201,0.5998612536464055,0.5995331777259086
"('Age', 'Color1', 'State', 'MaturitySize', 'Fee')",0.5991997332444148,0.5971459274566797,0.5999441421513895,0.5991997332444149
"('Age', 'Breed1', 'Color2', 'Color1', 'Quantity')",0.5991997332444148,0.5982024137453655,0.5993287458327313,0.5991997332444148
"('Age', 'Color1', 'MaturitySize')",0.5991997332444148,0.5951294358871722,0.6013946771599175,0.5991997332444148
"('Age', 'Quantity')",0.598866288762921,0.598853796367679,0.5988446329786902,0.598866288762921
"('PhotoAmt', 'Age', 'Breed1', 'Color1', 'Quantity')",0.598866288762921,0.5975312671792886,0.5991687269139907,0.598866288762921
"('Age', 'State', 'Breed2', 'Quantity')",0.5981993997999333,0.5970442293029767,0.5983971475721004,0.5981993997999333
"('PhotoAmt', 'Age', 'State', 'Breed2', 'MaturitySize')",0.5978659553184394,0.5973178685192951,0.5978013133097067,0.5978659553184394
"('PhotoAmt', 'Age', 'State', 'Quantity', 'MaturitySize')",0.5975325108369457,0.5968663299811366,0.5975055905334619,0.5975325108369457
"('Age', 'State', 'MaturitySize', 'Fee')",0.5971990663554518,0.5963031085197249,0.5972625213053855,0.5971990663554518
